high	low	varBid	open	close	timestamp
4.9746	4.9464	-0.0171	4.9541	4.9541	2024-03-01 21:58:20
4.9719	4.9708	-0.0008	4.9541	4.9703	2024-02-29 22:30:04
4.9757	4.9317	0.0005	4.9703	4.9675	2024-02-28 21:30:09
4.9338	4.9338	0.0003	4.9675	4.9335	2024-02-27 23:59:40
4.9802	4.9802	0.0004	4.9335	4.9799	2024-02-26 23:59:01
4.9943	4.9943	-0.0008	4.9799	4.9938	2024-02-25 23:59:20
4.9974	4.96	0.0338	4.9938	4.9938	2024-02-23 21:55:35
4.9644	4.961	0.0039	4.9938	4.9639	2024-02-22 22:30:05
4.9461	4.9194	0.0053	4.9639	4.9326	2024-02-21 21:28:57
4.9279	4.927	0.0004	4.9326	4.9275	2024-02-20 23:58:20
4.9708	4.9521	0.0004	4.9275	4.9564	2024-02-19 21:30:12
4.9892	4.9598	-0.0062	4.9564	4.9665	2024-02-16 21:30:03
4.9892	4.9598	-0.006	4.9665	4.9668	2024-02-16 21:29:22
4.9737	4.9737	0.0005	4.9668	4.9732	2024-02-15 22:14:05
4.974	4.9695	0.005	4.9732	4.9735	2024-02-14 22:30:03
4.9537	4.9537	0.0001	4.9735	4.9536	2024-02-13 23:58:40
4.9537	4.9537	0.0001	4.9536	4.9536	2024-02-12 23:59:20
4.9537	4.9537	0.002	4.9536	4.9536	2024-02-11 23:59:20
4.9925	4.95	-0.0398	4.9536	4.9517	2024-02-09 21:30:01
4.9925	4.95	-0.0403	4.9517	4.9512	2024-02-09 21:29:55
5.0006	4.9676	0.0005	4.9512	4.992	2024-02-08 21:30:01
4.9717	4.969	0.0032	4.992	4.9712	2024-02-07 22:30:04
4.9891	4.9511	0.0004	4.9712	4.9634	2024-02-06 21:30:01
5.0175	4.9663	0.0005	4.9634	4.9854	2024-02-05 21:30:02
4.9756	4.9075	0.0553	4.9854	4.9713	2024-02-02 21:29:40
4.9167	4.9167	0.0004	4.9713	4.9163	2024-02-01 22:12:03
4.9653	4.9261	0.0004	4.9163	4.9526	2024-01-31 21:30:00
4.9521	4.9501	-0.0015	4.9526	4.9496	2024-01-30 22:30:04
4.9576	4.906	0.0002	4.9496	4.9518	2024-01-29 21:30:02
4.92	4.9022	0.0008	4.9518	4.9168	2024-01-26 21:30:01
4.92	4.9022	0.001	4.9168	4.917	2024-01-26 21:29:38
4.9401	4.907	0.0005	4.917	4.9165	2024-01-25 21:30:01
4.954	4.908	0.0005	4.9165	4.9335	2024-01-24 21:30:01
5.0017	4.948	0.0005	4.9335	4.9535	2024-01-23 21:30:01
4.9928	4.9237	0.0004	4.9535	4.9892	2024-01-22 21:30:01
4.9392	4.903	0.003	4.9892	4.9295	2024-01-19 21:29:38
4.9299	4.9274	0.003	4.9295	4.9294	2024-01-18 22:30:04
4.954	4.923	0.0005	4.9294	4.9349	2024-01-17 21:30:02
4.9332	4.8615	0.0632	4.9349	4.9255	2024-01-16 21:29:58
4.8853	4.8427	0.0094	4.9255	4.8628	2024-01-15 21:29:49
4.8782	4.8311	0.0027	4.8628	4.856	2024-01-14 20:49:56
4.8782	4.8311	-0.0156	4.856	4.8539	2024-01-12 21:47:03
4.8712	4.8705	0.0012	4.8539	4.8707	2024-01-11 22:30:04
4.893	4.8914	0.0021	4.8707	4.8925	2024-01-10 22:30:04
4.9072	4.9043	0.0034	4.8925	4.9067	2024-01-09 22:30:07
4.9005	4.864	-0.0046	4.9067	4.8693	2024-01-08 21:29:47
4.938	4.8602	-0.0219	4.8693	4.8743	2024-01-05 21:00:00
4.938	4.8602	-0.0206	4.8743	4.8758	2024-01-05 20:59:02
4.9359	4.8953	0.0005	4.8758	4.8968	2024-01-04 21:30:01
4.9385	4.8999	0.0005	4.8968	4.9198	2024-01-03 21:30:01
4.924	4.8508	0.0005	4.9198	4.9235	2024-01-02 21:29:35
4.8534	4.8524	0.0008	4.9235	4.8526	2024-01-01 18:06:56
4.8524	4.8524	0	4.8526	4.8521	2023-12-28 22:00:03
4.8706	4.819	0.0002	4.8521	4.8521	2023-12-28 21:29:47
4.8405	4.8035	0.0005	4.8521	4.8267	2023-12-27 21:29:44
4.861	4.814	0.0005	4.8267	4.814	2023-12-26 21:29:59
4.861	4.859	0.0005	4.814	4.8605	2023-12-22 22:00:03
4.8908	4.8485	-0.0254	4.8605	4.8585	2023-12-22 21:29:48
4.8908	4.8485	-0.0256	4.8585	4.8583	2023-12-22 21:28:56
4.9168	4.8648	-0.0314	4.8583	4.8844	2023-12-21 21:30:01
4.9168	4.9146	-0.0017	4.8844	4.9141	2023-12-20 22:31:29
4.9036	4.851	0.0005	4.9141	4.8675	2023-12-19 21:30:00
4.9516	4.8913	0.0003	4.8675	4.8967	2023-12-18 21:12:04
4.9507	4.9049	0.0221	4.8967	4.9371	2023-12-15 21:29:46
4.9507	4.9049	0.0231	4.9371	4.9381	2023-12-15 21:28:54
4.92	4.8755	0.0005	4.9381	4.9155	2023-12-14 21:30:02
4.977	4.9156	-0.0461	4.9155	4.9167	2023-12-13 21:29:10
4.9735	4.922	0.0277	4.9167	4.9658	2023-12-12 21:35:52
4.9598	4.9268	0.0057	4.9658	4.9369	2023-12-11 21:29:22
4.9359	4.8941	0.0207	4.9369	4.9317	2023-12-08 21:29:44
4.9359	4.8941	0.0192	4.9317	4.9302	2023-12-08 21:28:48
4.9146	4.8798	0.0004	4.9302	4.9115	2023-12-07 21:29:59
4.9027	4.9026	0.0004	4.9115	4.9021	2023-12-06 22:30:04
4.9311	4.9302	-0.0004	4.9021	4.9298	2023-12-05 22:28:04
4.9449	4.9436	0.0017	4.9298	4.9444	2023-12-04 22:30:04
4.937	4.8684	-0.0401	4.9444	4.8801	2023-12-01 21:58:02
4.937	4.8684	-0.04	4.8801	4.8801	2023-12-01 21:56:02
4.9453	4.9034	0.0005	4.8801	4.9205	2023-11-30 21:17:08
4.906	4.9034	0.0031	4.9205	4.9055	2023-11-29 22:30:03
4.8711	4.871	0.0006	4.9055	4.8706	2023-11-28 22:30:04
4.9212	4.8722	-0.0039	4.8706	4.8976	2023-11-27 21:29:17
4.9089	4.8828	-0.0004	4.8976	4.902	2023-11-24 20:59:59
4.9089	4.8828	-0.0008	4.902	4.9027	2023-11-24 20:59:40
4.9089	4.8867	0.0005	4.9027	4.9039	2023-11-23 21:02:06
4.919	4.879	0.0004	4.9039	4.9068	2023-11-22 21:54:03
4.9085	4.8432	0.0005	4.9068	4.9006	2023-11-21 21:30:02
4.9064	4.847	0.0005	4.9006	4.8543	2023-11-20 21:30:01
4.9123	4.8509	0.0432	4.8543	4.9059	2023-11-17 21:30:01
4.9123	4.8509	0.041	4.9059	4.9037	2023-11-17 21:29:21
4.8636	4.8636	0.0004	4.9037	4.8632	2023-11-16 22:30:00
4.8659	4.861	-0.0028	4.8632	4.862	2023-11-15 19:03:52
4.9092	4.8482	-0.0414	4.862	4.8659	2023-11-14 21:29:47
4.942	4.9009	0.0004	4.8659	4.9075	2023-11-13 21:57:44
4.9525	4.9017	-0.0324	4.9075	4.9013	2023-11-10 21:30:01
4.9467	4.8918	0.0003	4.9013	4.9342	2023-11-09 21:29:14
4.9166	4.871	0.0005	4.9342	4.9103	2023-11-08 21:29:56
4.9075	4.859	0.0005	4.9103	4.8724	2023-11-07 21:29:57
4.9113	4.8826	0.0004	4.8724	4.8853	2023-11-06 21:30:01
4.9555	4.8766	-0.0523	4.8853	4.901	2023-11-03 20:59:57
4.9555	4.8766	-0.0519	4.901	4.9012	2023-11-03 20:59:32
4.9545	4.9543	0.0009	4.9012	4.9539	2023-11-01 21:00:00
5.0454	4.9517	-0.0801	4.9539	4.9539	2023-11-01 20:59:23
5.0363	5.0357	0.0007	4.9539	5.0354	2023-10-31 21:38:03
5.0598	4.9721	0.0295	5.0354	5.0439	2023-10-30 20:59:55
5.0194	4.9313	0.0291	5.0439	5.015	2023-10-27 20:59:58
5.0194	4.9313	0.0291	5.015	5.015	2023-10-27 20:59:58
5.0189	4.9868	-0.0069	5.015	4.9866	2023-10-26 20:58:49
4.9962	4.9962	0.0015	4.9866	4.9947	2023-10-25 20:59:59
5.0305	4.99	-0.0204	4.9947	4.9903	2023-10-24 20:59:25
